source_id,ra,dec,phot_g_mean_mag,bp_rp,pmra,pmdec
4689544841972352256,4.926036465474714,-72.61263885062715,18.30492,0.79922676,4.965896328312451,-2.241665588664512
4689542711668547968,5.240482422384639,-72.63511240186847,18.101053,0.7993679,4.8708830572684345,-2.2767329595775325
4689530513964068736,5.463459428858454,-72.66602999966574,19.23963,0.909214,1.2934889627451969,-1.6557758757614205
4689542574232251648,5.40053525291596,-72.62455399283115,20.339012,1.0655994,0.5601653956092646,-1.1353890203176582
4689531171091017216,5.475866904720248,-72.6379822460897,19.312069,1.0925045,0.0121107151059525,-1.340535204058191
4689529758047151744,5.451191975854773,-72.68220692558621,18.74653,1.2068672,0.8064402783729507,-1.1576588915970214
4689529277010786944,5.347178172289778,-72.74062141810099,18.18148,1.2332726,0.0911887267184374,-1.6716544101657749
4689542608589339008,5.4066413017758,-72.62341317229273,19.069216,1.1592655,-0.3973800211154268,-0.8970730022822383
4689543231370896128,5.655608358208161,-72.5590872905863,12.740288,1.2729416,5.374369614413963,-2.670862500079727
4689544090352636544,5.453866562569675,-72.56661669131107,18.692827,0.89068794,5.489752228703651,-2.78954903088595
4689540100333792384,4.631656773161571,-72.6095065806961,19.389278,1.0192127,-1.0863683761197582,-1.0498004070235727
4689526326368134144,5.378414028659211,-72.74090456807164,20.754164,2.0823135,3.643602600242859,-4.011984022673086
4689575323366942336,6.452890292001464,-72.23575328715532,17.831867,0.82657623,5.515465296825649,-1.1699016943831764
4689574700606123392,6.145952156108504,-72.27870283820506,18.226437,0.8515167,5.289565034239612,-2.4880931218749094
4689568515833344512,6.09663058951146,-72.41925167476577,18.413027,0.89375687,4.646475411747248,-2.5185699789491656
4689580133730317184,6.586889101612348,-72.25357347971458,15.014473,1.1134281,5.28102348113031,-1.9522522707735877
4689573223116574336,6.098043714559816,-72.38285240626836,18.78879,0.88866615,6.059052399441675,-1.8638034397407497
4689564530104668416,7.10592827125136,-72.35156401878803,19.353863,1.0656662,-0.0438354522167933,-0.402391454470014
4689574911050146560,6.349543607171039,-72.28266012198662,17.018875,0.91745186,5.816018567319389,-2.2127043979071304
4689580786565264640,6.854940503026257,-72.195448896673,17.532017,0.78388786,4.933990541438568,-2.200075061442223
